company_name,cin,csr_total_rank,csr_2011_12,csr_2012_13,csr_2013_14,public
HINDUSTAN AERONAUTICS LTD.,L35301KA1963GOI001622,32,58.1,130.5,148.2,1
BHARAT HEAVY ELECTRICALS LTD.,L74899DL1964GOI004281,33,300.5,630,1080.6,1
COAL INDIA LTD.,L23109WB1973GOI028844,34,,,,1
TECH MAHINDRA LTD.,L64200MH1986PLC041370,35,,,,0
BHARTI AIRTEL LTD.,L74899DL1995PLC070609,36,,295.6,56.7,0
HERO MOTOCORP LTD.,L35911DL1984PLC017354,37,,13.9,13.8,0
JAI CORP LTD.,L17120MH1985PLC036500,38,,,,0
ULTRATECH CEMENT LTD.,L26940MH2000PLC128420,39,67.5,,,0
N H P C LTD.,L40101HR1975GOI032564,40,58.2,165.9,318.8,1
AMBUJA CEMENTS LTD.,L26942GJ1981PLC004717,41,,,,0
J S W STEEL LTD.,L27102MH1994PLC152925,42,320,310,270,0
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,L63090GJ1998PLC034182,43,,257.3,253.6,0
N L C INDIA LTD.,L93090TN1956GOI003507,44,115.3,142.6,263,1
NUCLEAR POWER CORPN. OF INDIA LTD.,U40104MH1987GOI149458,45,234,217.2,151.8,1
SIEGWERK INDIA PVT. LTD.,U74999DL1997PTC084706,46,,,,0
ASIAN PAINTS LTD.,L24220MH1945PLC004598,47,,9.9,37.1,0
STEEL AUTHORITY OF INDIA LTD.,L27109DL1973GOI006454,48,610,530,448.7,1
H C L TECHNOLOGIES LTD.,L74140DL1991PLC046369,49,,,,0
DR. REDDY'S LABORATORIES LTD.,L85195TG1984PLC004507,50,,168.3,198.6,0
INDUS TOWERS LTD.,U92100HR2007PLC073822,51,,,,0
INDIABULLS HOUSING FINANCE LTD.,L65922DL2005PLC136029,52,88,,30,0
YES BANK LTD.,L65190MH2003PLC143249,53,,68,124,0
S J V N LTD.,L40101HP1988GOI008409,54,78.4,160.3,136.8,1
HINDALCO INDUSTRIES LTD.,L27020MH1958PLC011238,55,42.3,297.9,326.6,0
NATIONAL ALUMINIUM CO. LTD.,L27203OR1981GOI000920,56,213.8,309.9,290,1
NORTHERN COALFIELDS LTD.,U10102MP1985GOI003160,57,92.5,176.4,397.2,1
MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,L65921MH1991PLC059642,58,46.1,57,72.3,0
RELIANCE INFRASTRUCTURE LTD.,L75100MH1929PLC001530,59,,,,0
SAMSUNG INDIA ELECTRONICS PVT. LTD.,U31900DL1995PTC071387,60,,,,0
PIRAMAL ENTERPRISES LTD.,L24110MH1947PLC005719,61,,,,0
JINDAL STEEL & POWER LTD.,L27105HR1979PLC009913,62,,249.2,522.6,0
A C C LTD.,L26940MH1936PLC002515,63,220,260,227.6,0
M M FORGINGS LTD.,L51102TN1946PLC001473,64,,,,0
BOSCH LTD.,L85110KA1951PLC000761,65,,57.5,24.9,0
INDUSIND BANK LTD.,L65191PN1994PLC076333,66,,,,0
TATA POWER CO. LTD.,L28920MH1919PLC000567,67,,78.8,152.7,0
BAJAJ FINANCE LTD.,L65910MH1987PLC042961,68,,,,0
CIPLA LTD.,L24239MH1935PLC002380,69,,76.5,99.8,0
ACCENTURE SOLUTIONS PVT. LTD.,U72400MH1990PTC057492,70,,,,0
VEDANTA LTD.,L13209MH1965PLC291394,71,,,,0
CONTAINER CORPN. OF INDIA LTD.,L63011DL1988GOI030915,72,54.8,61.5,103.8,1
ORACLE FINANCIAL SERVICES SOFTWARE LTD.,L72200MH1989PLC053666,73,,,,0
BANK OF AMERICA N A,F00689,74,,,,0
TORRENT PHARMACEUTICALS LTD.,L24230GJ1972PLC002126,75,,,,0
TATA MOTORS LTD.,L28920MH1945PLC004520,76,,,,0
